game_id,event_ticker,league,home_team,away_team,game_start,game_date,home_score,away_score,bookmakers_used,vig_mean,sportsbook_prob_home,sportsbook_prob_away,home_win,volume_home,volume_away,kalshi_prob_home,kalshi_prob_away,total_volume,market_type,brier_kalshi,logloss_kalshi,brier_sportsbook,logloss_sportsbook
7ea345d53aa2064f3f044ec8bbcbd6d6,KXNBAGAME-25OCT28NYKMIL,NBA,Milwaukee Bucks,New York Knicks,2025-10-29T00:30:00Z,2025-10-28,121,111,11,1.055698197651432,0.43332410207452376,0.5666758979254762,1,4185,7838,0.38,0.62,12023,h2h,0.3844,0.9675840262617056,0.32112157328964475,0.8362693273324739
8162993fb172c214bf7e7338079a0e79,KXNBAGAME-25NOV21DENHOU,NBA,Houston Rockets,Denver Nuggets,2025-11-22T03:00:00Z,2025-11-21,109,112,11,1.057338317266622,0.5409313843296033,0.45906861567039675,0,24539,14191,0.48039215686274506,0.5196078431372549,38730,h2h,0.23077662437524024,0.6546808997321492,0.292606762552741,0.7785555906160421
82a6ef30859cca886863981ccbe7deb5,KXNBAGAME-25NOV05PHICLE,NBA,Cleveland Cavaliers,Philadelphia 76ers,2025-11-06T00:30:00Z,2025-11-05,132,121,10,1.0529761290252402,0.8659107468097441,0.1340892531902559,1,6295,37664,0.8921568627450981,0.10784313725490197,43959,h2h,0.011630142252979613,0.11411330676742099,0.01797992782112055,0.1439734394612207
84fcb7d4f3ea128bf6e2ac2247fa236b,KXNBAGAME-25APR22MEMOKC,NBA,Oklahoma City Thunder,Memphis Grizzlies,NA,2025-04-22,118,99,11,1.0506743427795808,0.9028212100699476,0.09717878993005234,1,105,946,0.9320388349514562,0.0679611650485437,1051,h2h,0.004618719954755407,0.07038079676179962,0.009443717212269245,0.10223074066170665
86515e2c1d74b8a8233244948e07630c,KXNBAGAME-25NOV07CHIMIL,NBA,Milwaukee Bucks,Chicago Bulls,2025-11-08T01:30:00Z,2025-11-07,126,110,11,1.0553509812006778,0.5693945513112361,0.43060544868876394,1,2917,14199,0.5757575757575757,0.42424242424242425,17116,h2h,0.17998163452708912,0.5520685823000399,0.1854210524404517,0.5631816733598961
87073ecdaedc9200c7468b70625a7ea8,KXNBAGAME-25MAY10BOSNYK,NBA,New York Knicks,Boston Celtics,2025-05-10T20:00:00Z,2025-05-10,93,115,11,1.055583442462351,0.25603350405799435,0.7439664959420057,0,10340,250,0.22772277227722773,0.7722772277227723,10590,h2h,0.05185766101362612,0.2584116901516677,0.06555315520021501,0.29575927749904524
879f1b0a8b19f5e3d8a204a54045f240,KXNBAGAME-25NOV03DALHOU,NBA,Houston Rockets,Dallas Mavericks,2025-11-04T01:30:00Z,2025-11-03,110,102,11,1.0564414699586204,0.7982300843599748,0.20176991564002522,1,24,5376,0.8080808080808082,0.19191919191919193,5400,h2h,0.03683297622691559,0.2130932154607082,0.040711098857382895,0.22535839682472547
884a1d2984a58125b5d143dca0ace0f2,KXNBAGAME-25APR20MEMOKC,NBA,Oklahoma City Thunder,Memphis Grizzlies,2025-04-20T17:30:00Z,2025-04-20,131,80,11,1.0547455473301408,0.8540459745166089,0.14595402548339106,1,70,943,0.91,0.09,1013,h2h,0.008099999999999994,0.09431067947124129,0.021302577554806378,0.1577702523140008
89733f00ce9f9896e48c1e0e9b45048e,KXNBAGAME-25OCT22DETCHI,NBA,Chicago Bulls,Detroit Pistons,2025-10-23T00:30:00Z,2025-10-22,115,111,11,1.054165027731204,0.437237428063998,0.562762571936002,1,10411,28,0.36633663366336633,0.6336633663366337,10439,h2h,0.4015292618370748,1.004202604197035,0.3167017123720238,0.8272789177803755
897d0135a47621fb920d0e9b7131026e,KXNBAGAME-25NOV09INDGSW,NBA,Golden State Warriors,Indiana Pacers,2025-11-10T02:00:00Z,2025-11-09,114,83,11,1.0515050427819739,0.8638328448396951,0.13616715516030486,1,1020,10503,0.900990099009901,0.09900990099009901,11523,h2h,0.009802960494069205,0.10426101032440939,0.01854149414445054,0.14637599551588545
8a3a6ccbc11731675de956d61bd4f95d,KXNBAGAME-25NOV17MILCLE,NBA,Cleveland Cavaliers,Milwaukee Bucks,2025-11-18T00:30:00Z,2025-11-17,118,106,10,1.0598292233418116,0.6052112225837116,0.39478877741628837,1,4480,10011,0.5533980582524272,0.44660194174757284,14491,h2h,0.19945329437270246,0.5916777203950857,0.1558581787738477,0.5021777536448374
8af134619ff871a0b76992d76de7e224,KXNBAGAME-25APR25INDMIL,NBA,Milwaukee Bucks,Indiana Pacers,2025-04-26T00:30:00Z,2025-04-25,117,101,11,1.0537184805079605,0.6405427087775516,0.3594572912224484,1,943,26,0.6504854368932039,0.3495145631067961,969,h2h,0.12216042982373454,0.43003636883866964,0.1292095442129801,0.4454394794975006
8af5977057054cf39d99326e1e0b9d01,KXNBAGAME-25NOV03MINBKN,NBA,Brooklyn Nets,Minnesota Timberwolves,2025-11-04T00:30:00Z,2025-11-03,109,125,10,1.0560670304032072,0.25812368957517134,0.7418763104248287,0,9405,2838,0.30392156862745096,0.696078431372549,12243,h2h,0.09236831987697038,0.3622929362429557,0.06662783911989942,0.298572747250998
8b2cda93b74c6d4fcff41df81381eaa7,KXNBAGAME-25OCT25CHAPHI,NBA,Philadelphia 76ers,Charlotte Hornets,NA,2025-10-25,125,121,11,1.0556690114037095,0.7052520568317737,0.2947479431682263,1,1493,5104,0.7745098039215687,0.22549019607843138,6597,h2h,0.050845828527489416,0.25552496081724957,0.08687635000189994,0.3492000126466115
8b5034a318296da7b71c659bc444df9e,KXNBAGAME-25NOV12ORLNYK,NBA,New York Knicks,Orlando Magic,2025-11-13T00:30:00Z,2025-11-12,107,124,11,1.0564160289606355,0.5732871268063093,0.42671287319369067,0,18263,7081,0.5643564356435643,0.43564356435643564,25344,h2h,0.31849818645230854,0.8309308829229982,0.3286581297618334,0.8516439200525192
8b5bcf5d08d87972e11a5d1a36d46367,KXNBAGAME-25APR15MEMGSW,NBA,Golden State Warriors,Memphis Grizzlies,2025-04-16T02:30:00Z,2025-04-15,121,116,10,1.0552040993818312,0.6534997071161538,0.3465002928838461,1,2836,2242,0.6767676767676768,0.32323232323232326,5078,h2h,0.10447913478216507,0.39042723074362384,0.12006245296859121,0.42541319409523126
8cf5f0182f14070fbb4decdff17134ed,KXNBAGAME-25OCT31LALMEM,NBA,Memphis Grizzlies,Los Angeles Lakers,2025-11-01T02:00:00Z,2025-10-31,112,117,11,1.0579813057224996,0.49626933910142657,0.5037306608985734,0,2232,27338,0.504950495049505,0.49504950495049505,29570,h2h,0.2549750024507401,0.7030975114131134,0.2462832569321667,0.6857135567339545
8d6d8735b8939d6cf23b1a98f7ef8740,KXNBAGAME-25NOV07BOSORL,NBA,Orlando Magic,Boston Celtics,2025-11-08T00:30:00Z,2025-11-07,123,110,11,1.0534026790514315,0.650286565417143,0.349713434582857,1,27026,65681,0.76,0.24,92707,h2h,0.0576,0.2744368457017603,0.12229948632773818,0.43034214337449483
8e49e10c4b0ba0109c73ca788ec28971,KXNBAGAME-25NOV16LACBOS,NBA,Boston Celtics,Los Angeles Clippers,2025-11-16T21:00:00Z,2025-11-16,121,118,11,1.0546330398238246,0.7003858551028775,0.29961414489712246,1,5930,4984,0.8181818181818182,0.18181818181818182,10914,h2h,0.0330578512396694,0.2006706954621511,0.0897686358224339,0.3561238742300001
90a88a365e93cdd921d3c24d79d8a376,KXNBAGAME-25NOV16BKNWAS,NBA,Washington Wizards,Brooklyn Nets,2025-11-16T23:30:00Z,2025-11-16,106,129,11,1.0556839351414855,0.5738158650733984,0.42618413492660157,0,4992,3232,0.6336633663366337,0.36633663366336633,8224,h2h,0.4015292618370748,1.004202604197035,0.3292646470099326,0.852883784490521
9221d7f71811f8a52214c26e5991a294,KXNBAGAME-25NOV23CHAATL,NBA,Atlanta Hawks,Charlotte Hornets,2025-11-23T23:30:00Z,2025-11-23,113,110,10,1.0546351783305623,0.6957763204420617,0.3042236795579384,1,12868,1387,0.64,0.36,14255,h2h,0.1296,0.4462871026284195,0.09255204720377111,0.36272704897610963
9257238b369a40521569c6cc2b147d7f,KXNBAGAME-25MAY14NYKBOS,NBA,Boston Celtics,New York Knicks,2025-05-14T23:30:00Z,2025-05-14,127,102,10,1.0548453811257827,0.612294233541842,0.38770576645815796,1,2468,4384,0.6213592233009708,0.3786407766990291,6852,h2h,0.14336883777924408,0.475845904869964,0.15031576134490776,0.4905423382433068
930e0687ebe1ad6186e1db0d88fe7f4a,KXNBAGAME-25NOV07GSWDEN,NBA,Denver Nuggets,Golden State Warriors,2025-11-08T03:30:00Z,2025-11-07,129,104,11,1.055539996663044,0.822325944555584,0.1776740554444159,1,6649,28565,0.8921568627450981,0.10784313725490197,35214,h2h,0.011630142252979613,0.11411330676742099,0.03156806997806539,0.19561843629836562
934882eaef004213b7cf42357bfbb44f,KXNBAGAME-25OCT24MIAMEM,NBA,Memphis Grizzlies,Miami Heat,2025-10-25T00:30:00Z,2025-10-24,114,146,11,1.0568192371792482,0.5495203719945507,0.4504796280054493,0,728,110,0.5098039215686274,0.49019607843137253,838,h2h,0.2599000384467512,0.7129498078561249,0.3019726392370294,0.7974424238098468
93b396908512d5c442233a73915097d7,KXNBAGAME-25NOV01GSWIND,NBA,Indiana Pacers,Golden State Warriors,2025-11-01T23:30:00Z,2025-11-01,114,109,11,1.055766078868226,0.2149429707362893,0.7850570292637108,1,3876,761,0.19801980198019803,0.801980198019802,4637,h2h,0.6431722380158809,1.6193882432872684,0.6163145391963627,1.5373825384294637
93dfb7992d1dacd6870906bffb91afc2,KXNBAGAME-25MAY20MINOKC,NBA,Oklahoma City Thunder,Minnesota Timberwolves,2025-05-21T01:00:00Z,2025-05-20,114,88,9,1.0558104908137667,0.6539118892762158,0.34608811072378426,1,21016,15814,0.6372549019607843,0.3627450980392157,36830,h2h,0.13158400615148022,0.45058554338863405,0.11977698038435831,0.42478266247863045
94f35a6d58c57801c32a564d04e32270,KXNBAGAME-25OCT23DENGSW,NBA,Golden State Warriors,Denver Nuggets,2025-10-24T02:30:00Z,2025-10-23,137,131,10,1.0573283754217666,0.5444184229692605,0.4555815770307395,1,6299,8323,0.5196078431372549,0.48039215686274506,14622,h2h,0.23077662437524024,0.6546808997321492,0.20755457332981567,0.6080371679080905
95d399e5dd6898e13b30f7aafb0ad214,KXNBAGAME-25NOV21MINPHX,NBA,Phoenix Suns,Minnesota Timberwolves,2025-11-22T02:30:00Z,2025-11-21,114,113,11,1.055030821014335,0.34065659703303375,0.6593434029669663,1,5682,3997,0.32673267326732675,0.6732673267326733,9679,h2h,0.4532888932457601,1.1186129553747792,0.4347337230360592,1.0768803559349083
96b78e7dd26755609d08949297bfb101,KXNBAGAME-25NOV05BKNIND,NBA,Indiana Pacers,Brooklyn Nets,2025-11-06T00:30:00Z,2025-11-05,103,112,10,1.0548372678149482,0.6119301880929214,0.3880698119070785,0,6862,3519,0.6767676767676768,0.32323232323232326,10381,h2h,0.4580144883175187,1.1293839473348635,0.3744585550994382,0.9465700279483287
9741d920f01ab1f8dfa3433b26083a13,KXNBAGAME-25NOV08DALWAS,NBA,Washington Wizards,Dallas Mavericks,2025-11-09T00:30:00Z,2025-11-08,105,111,11,1.0582785265847054,0.4640040457231314,0.5359959542768686,0,2350,7152,0.4215686274509804,0.5784313725490196,9502,h2h,0.17772010765090349,0.5474353693785518,0.21529975444743382,0.6236286659307381
97c436574586a603abfb5d3d649633a6,KXNBAGAME-25APR27NYKDET,NBA,Detroit Pistons,New York Knicks,2025-04-27T17:30:00Z,2025-04-27,93,94,11,1.0570184623941816,0.5428132921823883,0.45718670781761167,0,850,1268,0.4158415841584158,0.5841584158415841,2118,h2h,0.17292422311538083,0.5375830729355399,0.2946462701698828,0.7826634204989572
97df12d0f134e8f46273fdd584d361c6,KXNBAGAME-25JUN19OKCIND,NBA,Indiana Pacers,Oklahoma City Thunder,2025-06-20T01:00:00Z,2025-06-19,108,91,10,1.0548089635528874,0.3193381152910461,0.6806618847089538,1,39347,40759,0.3877551020408163,0.6122448979591837,80106,h2h,0.3748438150770512,0.9473813189441862,0.4633006012955452,1.141504814976123
99eadf1bba6ca10f585edb7d3c4a3e6c,KXNBAGAME-25NOV22NYKORL,NBA,Orlando Magic,New York Knicks,2025-11-22T22:30:00Z,2025-11-22,133,121,11,1.0567935885402568,0.4262484705053183,0.5737515294946817,1,4581,16510,0.47,0.53,21091,h2h,0.28090000000000004,0.7550225842780328,0.3291908175974867,0.8527328386481662
