"game_id_unique","bookmaker","home_team","away_team","home_ml_raw","away_ml_raw","home_prob_raw","away_prob_raw","overround","prob_home","prob_away"
"00eb7e982d3c341cdc68795c73d901e1","FanDuel","Los Angeles Lakers","Minnesota Timberwolves",108,-126,0.480769230769231,0.557522123893805,1.03829135466304,0.463038846090805,0.536961153909195
"00eb7e982d3c341cdc68795c73d901e1","Fanatics","Los Angeles Lakers","Minnesota Timberwolves",120,-160,0.454545454545455,0.615384615384615,1.06993006993007,0.424836601307189,0.57516339869281
"00eb7e982d3c341cdc68795c73d901e1","LowVig.ag","Los Angeles Lakers","Minnesota Timberwolves",107,-123,0.483091787439614,0.551569506726457,1.03466129416607,0.466908146814346,0.533091853185654
"00eb7e982d3c341cdc68795c73d901e1","MyBookie.ag","Los Angeles Lakers","Minnesota Timberwolves",NA,NA,NA,NA,NA,NA,NA
"0150cdf67f18ee09b2207c17bd502b3d","BetMGM","Phoenix Suns","Memphis Grizzlies",135,-175,0.425531914893617,0.636363636363636,1.06189555125725,0.400728597449909,0.599271402550091
"0150cdf67f18ee09b2207c17bd502b3d","BetOnline.ag","Phoenix Suns","Memphis Grizzlies",114,-134,0.467289719626168,0.572649572649573,1.03993929227574,0.449343267532068,0.550656732467931
"0150cdf67f18ee09b2207c17bd502b3d","BetRivers","Phoenix Suns","Memphis Grizzlies",135,-186,0.425531914893617,0.65034965034965,1.07588156524327,0.395519291937491,0.604480708062509
"0150cdf67f18ee09b2207c17bd502b3d","BetUS","Phoenix Suns","Memphis Grizzlies",115,-135,0.465116279069767,0.574468085106383,1.03958436417615,0.447405997144217,0.552594002855783
"0150cdf67f18ee09b2207c17bd502b3d","Bovada","Phoenix Suns","Memphis Grizzlies",130,-170,0.434782608695652,0.62962962962963,1.06441223832528,0.408472012102874,0.591527987897126
"0150cdf67f18ee09b2207c17bd502b3d","Caesars","Phoenix Suns","Memphis Grizzlies",125,-160,0.444444444444444,0.615384615384615,1.05982905982906,0.419354838709677,0.580645161290323
"0150cdf67f18ee09b2207c17bd502b3d","DraftKings","Phoenix Suns","Memphis Grizzlies",140,-180,0.416666666666667,0.642857142857143,1.05952380952381,0.393258426966292,0.606741573033708
"0150cdf67f18ee09b2207c17bd502b3d","FanDuel","Phoenix Suns","Memphis Grizzlies",132,-170,0.431034482758621,0.62962962962963,1.06066411238825,0.406381697772426,0.593618302227574
"0150cdf67f18ee09b2207c17bd502b3d","Fanatics","Phoenix Suns","Memphis Grizzlies",140,-180,0.416666666666667,0.642857142857143,1.05952380952381,0.393258426966292,0.606741573033708
"0150cdf67f18ee09b2207c17bd502b3d","LowVig.ag","Phoenix Suns","Memphis Grizzlies",116,-132,0.462962962962963,0.568965517241379,1.03192848020434,0.448638613861386,0.551361386138614
"0150cdf67f18ee09b2207c17bd502b3d","MyBookie.ag","Phoenix Suns","Memphis Grizzlies",135,-182,0.425531914893617,0.645390070921986,1.0709219858156,0.397350993377483,0.602649006622517
"022efc6b85eb5cf71b2fa0faea2c76a0","BetMGM","Chicago Bulls","Philadelphia 76ers",110,-140,0.476190476190476,0.583333333333333,1.05952380952381,0.449438202247191,0.550561797752809
"022efc6b85eb5cf71b2fa0faea2c76a0","BetOnline.ag","Chicago Bulls","Philadelphia 76ers",-130,110,0.565217391304348,0.476190476190476,1.04140786749482,0.542743538767396,0.457256461232604
"022efc6b85eb5cf71b2fa0faea2c76a0","BetRivers","Chicago Bulls","Philadelphia 76ers",100,-134,0.5,0.572649572649573,1.07264957264957,0.466135458167331,0.533864541832669
"022efc6b85eb5cf71b2fa0faea2c76a0","BetUS","Chicago Bulls","Philadelphia 76ers",-125,105,0.555555555555556,0.48780487804878,1.04336043360434,0.532467532467533,0.467532467532468
