"game_id_unique","bookmaker","home_team","away_team","home_ml_raw","away_ml_raw","home_prob_raw","away_prob_raw","overround","prob_home","prob_away","home_score","away_score","home_win","brier","logloss"
"0042b0009547d8a7c9827977546613de","BetMGM","Phoenix Suns","Sacramento Kings",-225,175,0.692307692307692,0.363636363636364,1.05594405594406,0.655629139072848,0.344370860927152,120,116,1,0.118591289855708,0.422159986680334
"0042b0009547d8a7c9827977546613de","BetOnline.ag","Phoenix Suns","Sacramento Kings",-154,134,0.606299212598425,0.427350427350427,1.03364963994885,0.586561625105801,0.413438374894199,120,116,1,0.170931289835156,0.533477543764188
"0042b0009547d8a7c9827977546613de","BetRivers","Phoenix Suns","Sacramento Kings",-235,165,0.701492537313433,0.377358490566038,1.07885102787947,0.650221874184286,0.349778125815714,120,116,1,0.122344737299153,0.430441629438469
"0042b0009547d8a7c9827977546613de","BetUS","Phoenix Suns","Sacramento Kings",-160,138,0.615384615384615,0.420168067226891,1.03555268261151,0.594257178526841,0.405742821473159,120,116,1,0.164627237176999,0.520443092836939
"0042b0009547d8a7c9827977546613de","Bovada","Phoenix Suns","Sacramento Kings",-240,180,0.705882352941177,0.357142857142857,1.06302521008403,0.66403162055336,0.33596837944664,120,116,1,0.112874751988002,0.409425509324261
"0042b0009547d8a7c9827977546613de","Caesars","Phoenix Suns","Sacramento Kings",-200,160,0.666666666666667,0.384615384615385,1.05128205128205,0.634146341463415,0.365853658536585,120,116,1,0.133848899464604,0.455475528682826
"0042b0009547d8a7c9827977546613de","DraftKings","Phoenix Suns","Sacramento Kings",-220,170,0.6875,0.37037037037037,1.05787037037037,0.649890590809628,0.350109409190372,120,116,1,0.122576598403631,0.430951252091505
"0042b0009547d8a7c9827977546613de","FanDuel","Phoenix Suns","Sacramento Kings",-230,176,0.696969696969697,0.36231884057971,1.05928853754941,0.657960199004975,0.342039800995025,120,116,1,0.116991225464716,0.418610837320667
"0042b0009547d8a7c9827977546613de","Fanatics","Phoenix Suns","Sacramento Kings",-250,185,0.714285714285714,0.350877192982456,1.06516290726817,0.670588235294118,0.329411764705882,120,116,1,0.108512110726644,0.399599988655766
"0042b0009547d8a7c9827977546613de","LowVig.ag","Phoenix Suns","Sacramento Kings",-153,135,0.604743083003953,0.425531914893617,1.03027499789757,0.586972492041466,0.413027507958534,120,116,1,0.170591722330437,0.532777322191677
"0042b0009547d8a7c9827977546613de","MyBookie.ag","Phoenix Suns","Sacramento Kings",-182,140,0.645390070921986,0.416666666666667,1.06205673758865,0.607679465776294,0.392320534223706,120,116,1,0.153915401573574,0.498107730478709
"00c81b9ad5b845e2a14e7f01e6a28777","BetMGM","Phoenix Suns","Atlanta Hawks",-110,-115,0.523809523809524,0.534883720930233,1.05869324473976,0.494769874476988,0.505230125523012,122,124,0,0.244797228689974,0.682741259398829
"00c81b9ad5b845e2a14e7f01e6a28777","BetOnline.ag","Phoenix Suns","Atlanta Hawks",-118,-102,0.541284403669725,0.504950495049505,1.04623489871923,0.51736412571627,0.48263587428373,122,124,0,0.267665638578161,0.728492793113148
"00c81b9ad5b845e2a14e7f01e6a28777","BetRivers","Phoenix Suns","Atlanta Hawks",107,-143,0.483091787439614,0.588477366255144,1.07156915369476,0.45082651527801,0.54917348472199,122,124,0,0.203244546877713,0.599340886075405
"00c81b9ad5b845e2a14e7f01e6a28777","BetUS","Phoenix Suns","Atlanta Hawks",-120,100,0.545454545454545,0.5,1.04545454545455,0.521739130434783,0.478260869565217,122,124,0,0.272211720226843,0.737598943130779
"00c81b9ad5b845e2a14e7f01e6a28777","Bovada","Phoenix Suns","Atlanta Hawks",120,-155,0.454545454545455,0.607843137254902,1.06238859180036,0.427852348993289,0.572147651006711,122,124,0,0.183057632539075,0.558358189781833
"00c81b9ad5b845e2a14e7f01e6a28777","Caesars","Phoenix Suns","Atlanta Hawks",-110,-120,0.523809523809524,0.545454545454545,1.06926406926407,0.489878542510122,0.510121457489879,122,124,0,0.239980986411841,0.673106429676499
"00c81b9ad5b845e2a14e7f01e6a28777","DraftKings","Phoenix Suns","Atlanta Hawks",120,-154,0.454545454545455,0.606299212598425,1.06084466714388,0.428475033738192,0.571524966261808,122,124,0,0.183590854536944,0.559447111203978
"00c81b9ad5b845e2a14e7f01e6a28777","FanDuel","Phoenix Suns","Atlanta Hawks",116,-148,0.462962962962963,0.596774193548387,1.05973715651135,0.436865839909808,0.563134160090192,122,124,0,0.190851762080102,0.574237384220971
"00c81b9ad5b845e2a14e7f01e6a28777","Fanatics","Phoenix Suns","Atlanta Hawks",105,-140,0.48780487804878,0.583333333333333,1.07113821138211,0.455407969639469,0.544592030360531,122,124,0,0.207396418811143,0.607718332781741
"00c81b9ad5b845e2a14e7f01e6a28777","LowVig.ag","Phoenix Suns","Atlanta Hawks",-116,100,0.537037037037037,0.5,1.03703703703704,0.517857142857143,0.482142857142857,122,124,0,0.268176020408163,0.72951482473082
"00c81b9ad5b845e2a14e7f01e6a28777","MyBookie.ag","Phoenix Suns","Atlanta Hawks",-111,-118,0.5260663507109,0.541284403669725,1.06735075438063,0.492871109662702,0.507128890337298,122,124,0,0.242921930740143,0.678990086127202
"00eb7e982d3c341cdc68795c73d901e1","BetMGM","Los Angeles Lakers","Minnesota Timberwolves",120,-155,0.454545454545455,0.607843137254902,1.06238859180036,0.427852348993289,0.572147651006711,128,110,1,0.327352934552498,0.848977121906924
