league,games,logloss_kalshi,logloss_sportsbook,logloss_diff,exp_loss_kalshi_house,exp_loss_sportsbook_house,exp_loss_diff_house
NBA,310,0.577555202204442,0.5897302481084156,-0.012175045903973558,288777.601102221,294865.12405420776,-6087.522951986779
NFL,79,0.6057089199534479,0.6028973912595401,0.002811528693907772,302854.45997672394,301448.69562977005,1405.7643469538862
ALL,389,0.5832727952691501,0.5924042951750963,-0.009131499905946217,291636.397634575,296202.1475875481,-4565.7499529731085
