league,games,avg_sportsbook_cost,avg_kalshi_cost,cost_gap_sportsbook_minus_kalshi
NBA,317,0.05218826347194547,0.014732692588498368,0.0374555708834471
NFL,82,0.04219044775749551,0.015660639132549108,0.026529808624946402
ALL,399,0.05013357452812367,0.014924359129083156,0.03520921539904051
